time,open,high,low,close,Equity,Exposure
2020-05-07T11:00:00+08:00,9331.78,9350,9230.9,9269,10048.73543,1
2020-05-07T14:00:00+08:00,9268.47,9340,9235.62,9338.84,10124.44828,1
2020-05-07T17:00:00+08:00,9338.81,9338.81,9247.1,9280.01,10060.67126,1
2020-05-07T20:00:00+08:00,9280.05,9590,9262,9496.49,10295.35507,1
2020-05-07T23:00:00+08:00,9496.45,9887,9350,9832.08,10659.16483,1
2020-05-08T02:00:00+08:00,9832.08,9950,9721.01,9797.34,10621.50354,1
2020-05-08T05:00:00+08:00,9795.74,10067,9750.1,9986.4,10826.4616,1
2020-05-08T08:00:00+08:00,9986.3,10035.96,9845.8,9899.52,10732.27586,1
2020-05-08T11:00:00+08:00,9898.49,9947.6,9805,9866.14,10696.08893,1
2020-05-08T14:00:00+08:00,9864.66,9900,9705,9859.9,10689.32421,1
2020-05-08T17:00:00+08:00,9859.77,9964.99,9813.28,9899.75,10732.5252,1
2020-05-08T20:00:00+08:00,9899.35,9986.45,9780,9954.99,10792.41033,1
2020-05-08T23:00:00+08:00,9954.95,10006.98,9912,9962.92,10801.00716,1
2020-05-09T02:00:00+08:00,9963.62,9985.58,9860.52,9980,10819.52342,1
2020-05-09T05:00:00+08:00,9979.79,10000.52,9780,9800.01,10624.39806,1
2020-05-09T08:00:00+08:00,9800.02,9914.25,9728.46,9849.33,10677.86538,1
2020-05-09T11:00:00+08:00,9849.33,9890,9752,9830.02,10656.9316,1
2020-05-09T14:00:00+08:00,9830.07,9835.77,9561,9677.25,10491.31517,1
2020-05-09T17:00:00+08:00,9677.76,9718.97,9520,9638.85,10449.68612,1
2020-05-09T20:00:00+08:00,9638.85,9719.22,9600.6,9698.04,10513.85341,1
2020-05-09T23:00:00+08:00,9699.23,9795,9627.03,9774.95,10597.23077,1
2020-05-10T02:00:00+08:00,9774.98,9786.35,9600,9655.28,10467.49772,1
2020-05-10T05:00:00+08:00,9655.32,9677.99,9525,9539.4,10341.87337,1
2020-05-10T08:00:00+08:00,9539.1,9574.83,8117,8661.49,9390.139916,0.01
2020-05-10T11:00:00+08:00,8661.86,8673,8316,8621.06,9346.310157,0.01
2020-05-10T14:00:00+08:00,8621.15,8900,8554.67,8811.66,9348.474759,0.01
2020-05-10T17:00:00+08:00,8812.72,8850,8645,8737.35,9347.668495,0.01
2020-05-10T20:00:00+08:00,8736.57,8817,8600.95,8659.82,9346.827295,0.01
2020-05-10T23:00:00+08:00,8659.81,8716.45,8255,8527.85,9345.39542,0.01
2020-05-11T02:00:00+08:00,8527.85,8784.66,8421.17,8663.94,9346.871997,0.01
2020-05-11T05:00:00+08:00,8663.85,8837.28,8540.41,8722.77,9347.510302,0.01
2020-05-11T08:00:00+08:00,8722.77,8805.14,8684.9,8748.07,9347.784807,0.01
2020-05-11T11:00:00+08:00,8747.18,8768,8613.01,8689.26,9347.146719,0.01
2020-05-11T14:00:00+08:00,8689.26,8732.23,8566.01,8636.07,9346.569607,0.01
2020-05-11T17:00:00+08:00,8635.84,8990,8478,8927.43,9349.730863,0.01
2020-05-11T20:00:00+08:00,8926.17,9168,8725.35,8871.89,9349.128254,0.01
2020-05-11T23:00:00+08:00,8871.57,8956.01,8325,8506.76,9345.166594,0.01
2020-05-12T02:00:00+08:00,8503.55,8807,8200,8630.16,9346.505484,0.01
2020-05-12T05:00:00+08:00,8630.36,8700,8459.28,8561.52,9345.76074,0.01
2020-05-12T08:00:00+08:00,8562.04,8685.71,8528.78,8637.51,9346.585231,0.01
2020-05-12T11:00:00+08:00,8637.05,8785,8632.51,8730.75,9347.596885,0.01
2020-05-12T14:00:00+08:00,8730.75,8764.93,8614.98,8749.75,9347.803035,0.01
2020-05-12T17:00:00+08:00,8748.82,8828.72,8725.52,8800.92,9348.35823,0.01
2020-05-12T20:00:00+08:00,8800.91,8917.72,8659,8887.26,9349.295019,0.01
2020-05-12T23:00:00+08:00,8887.21,8978.26,8792.74,8879,9349.205398,0.01
