time,open,high,low,close,1 Long Short,1 Long Short Exposure,1.2 Long Short,1.2 Long Short Exposure,1 Old long,1 Old long Exposure,1.2 Old long,1.2 Old long Exposure,1 New long,1 New long Exposure,1.2 New long,1.2 New long Exposure
2020-05-03T11:00:00+08:00,9073.06,9160,9072.72,9096.21,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-03T14:00:00+08:00,9096.02,9098.43,8911.35,9033.78,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-03T17:00:00+08:00,9033.74,9140,8992,9045.5,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-03T20:00:00+08:00,9045.62,9094,8727,8767.1,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-03T23:00:00+08:00,8768.55,8887,8712,8818.29,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-04T02:00:00+08:00,8818.29,8906,8790,8843.55,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-04T05:00:00+08:00,8843.55,8955,8806,8894.16,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-04T08:00:00+08:00,8894.15,8936.1,8630.55,8746.7,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-04T11:00:00+08:00,8746.7,8768.75,8522,8606.11,10000,-1,10000,-1,10000,0.1,10000,0.1,10000,0.01,10000,0.01
2020-05-04T14:00:00+08:00,8606.11,8716.8,8569.82,8691.29,10000,-1,10000,-1,10000,0.1,10000,0.1,10000,0.01,10000,0.01
2020-05-04T17:00:00+08:00,8691,8697.65,8594.26,8672.36,10013.92393,-1,10013.92393,-1,9997.855468,0.1,9997.855468,0.1,9999.78564,0.01,9999.78564,0.01
2020-05-04T20:00:00+08:00,8672.57,8860,8646.52,8780.1,9889.961516,-1,9889.961516,-1,10010.25096,0.1,10010.25096,0.1,10001.02465,0.01,10001.02465,0.01
2020-05-04T23:00:00+08:00,8781.02,8887,8743.58,8799.54,9867.594435,-1,9867.594435,-1,10012.48753,0.1,10012.48753,0.1,10001.24821,0.01,10001.24821,0.01
2020-05-05T02:00:00+08:00,8799.54,8926,8790,8902.65,9748.959162,-1,9748.959162,-1,10024.35033,0.1,10024.35033,0.1,10002.43398,0.01,10002.43398,0.01
2020-05-05T05:00:00+08:00,8901.81,8950,8825,8871.96,9784.270156,-1,9784.270156,-1,10020.81945,0.1,10020.81945,0.1,10002.08104,0.01,10002.08104,0.01
